outer,radius,TMR,FMR
0.4,0.8,0.19719462302746932,0.00017533606078316773
0.4,0.85,0.13892460549386323,0.0
0.4,0.9,0.08410286382232612,0.0
0.4,0.95,0.03331385154880187,0.0
0.4,1.0,0.0070134424313267095,0.0
0.425,0.8,0.3310344827586207,0.00035067212156633545
0.425,0.85,0.2690239625949737,0.000233781414377557
0.425,0.9,0.20005844535359438,0.00017533606078316773
0.425,0.95,0.12916423144360023,0.0001168907071887785
0.425,1.0,0.06113383985973115,0.0001168907071887785
0.45,0.8,0.46990064289888955,0.0010520163646990065
0.45,0.85,0.41607247223845706,0.0008182349503214494
0.45,0.9,0.34874342489772064,0.00035067212156633545
0.45,0.95,0.2717124488603156,0.000233781414377557
0.45,1.0,0.18661601402688485,0.0001168907071887785
0.475,0.8,0.5924021040327294,0.0026884862653419055
0.475,0.85,0.5534190531852717,0.002104032729398013
0.475,0.9,0.4983635300993571,0.0012857977790765634
0.475,0.95,0.4304500292226768,0.000935125657510228
0.475,1.0,0.3470485096434833,0.000467562828755114
0.5,0.8,0.6969023962594973,0.00619520748100526
0.5,0.85,0.6686732904734074,0.004967855055523086
0.5,0.9,0.6330800701344244,0.004032729398012858
0.5,0.95,0.581531268264173,0.002571595558153127
0.5,1.0,0.5159555815312683,0.001870251315020456
0.525,0.8,0.775219170075979,0.011981297486849795
0.525,0.85,0.7592051431911163,0.010987726475745179
0.525,0.9,0.734541203974284,0.009234365867913501
0.525,0.95,0.7016364699006429,0.007539450613676213
0.525,1.0,0.6545879602571596,0.005084745762711864
0.55,0.8,0.8357685563997662,0.021390999415546463
0.55,0.85,0.8281706604324957,0.020689655172413793
0.55,0.9,0.8119812974868498,0.01864406779661017
0.55,0.95,0.7896551724137931,0.016014026884862653
0.55,1.0,0.7618936294564582,0.012507305669199298
0.575,0.8,0.8738164815897136,0.032144944476914086
0.575,0.85,0.8724722384570427,0.031209818819403858
0.575,0.9,0.8660432495616599,0.029690239625949737
0.575,0.95,0.8550555230859147,0.026709526592635886
0.575,1.0,0.8365867913500876,0.023611922852133257
0.6,0.8,0.9029222676797195,0.04582115721800117
0.6,0.85,0.9033313851548802,0.04494447691408533
0.6,0.9,0.9008182349503214,0.043541788427819986
0.6,0.95,0.8973699590882525,0.04178842781998831
0.6,1.0,0.8872589129164231,0.03915838690824079
